@RELATION LNCvsMRNA

@ATTRIBUTE 1mer {-1,1}
@ATTRIBUTE 2mer {-1,1}
@ATTRIBUTE 3mer {-1,1}
@ATTRIBUTE 4mer {-1,1}
@ATTRIBUTE 5mer {-1,1}
@ATTRIBUTE order {-1,1}
@ATTRIBUTE LNC {-1,1}

@DATA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
1,-1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,-1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
-1,-1,-1,1,1,1,1
-1,1,-1,1,1,1,1
-1,-1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,1,1,1
-1,-1,1,-1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,-1,-1,1,1,1
-1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,-1,-1,1,-1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,-1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,-1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,-1,-1,1
1,1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,1
-1,-1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,-1,1,1,-1,1
1,1,1,1,1,1,1
1,1,-1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,-1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,-1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1
-1,1,-1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,-1,-1,-1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,-1,1
-1,-1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,-1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
-1,1,-1,-1,-1,1,1
1,-1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,1,1,1,1,1
1,1,1,-1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,-1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,1,1,1
1,1,1,1,1,1,1
1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,-1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,-1,-1,-1,-1,1
1,1,1,1,1,1,1
1,1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,-1,1,1,1
1,1,-1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,-1,1,1,-1,1
-1,-1,1,-1,1,-1,1
1,1,1,1,1,1,1
1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,1,-1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,1,-1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,1,1,1,1,1
-1,-1,1,-1,-1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,-1,-1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,-1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,-1,1,1,1,1
1,1,1,1,1,1,1
1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,1,1,1
-1,1,1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,-1,1,1,1
-1,-1,1,1,-1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,-1,1
-1,1,1,1,1,-1,1
1,-1,-1,1,1,1,1
-1,-1,-1,-1,-1,-1,1
1,-1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,-1,-1,-1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,-1,1
1,1,1,1,1,1,1
-1,-1,1,-1,1,1,1
-1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,-1,-1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,-1,1,1,1,-1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,1,1,1,1,-1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
-1,-1,1,1,1,1,1
1,-1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,-1,-1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,-1,1,1,1,1
-1,-1,-1,-1,-1,1,1
-1,1,-1,-1,1,-1,1
-1,-1,-1,-1,-1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,-1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,-1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,-1,1,1,1,1
1,1,1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,-1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,-1,-1,1,1,-1,1
1,1,1,-1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
-1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,1,1,-1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,-1,1,-1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
-1,-1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,-1,-1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,-1,1,1,1,-1,1
-1,1,-1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,1,1,1,1,1
-1,-1,-1,-1,1,1,1
1,1,-1,-1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
-1,-1,-1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,-1,1
1,1,1,1,1,1,1
